2025-12-07T00:29:01 | label=banana | conf=0.255 | found=True | aisle=1 | section=front-right
2025-12-07T00:40:25 | label=milk | conf=0.253 | found=True | aisle=3 | section=back-right
2025-12-07T00:44:23 | label=milk | conf=0.253 | found=True | aisle=3 | section=back-right
2025-12-07T00:45:24 | label=milk | conf=0.253 | found=True | aisle=3 | section=back-right
2025-12-07T01:00:28 | label=apple | conf=0.254 | found=True | aisle=1 | section=front-left
2025-12-07T14:42:49 | label=milk | conf=0.256 | found=True | aisle=3 | section=back-right
2025-12-07T14:46:36 | label=apple | conf=0.255 | found=True | aisle=1 | section=front-left
2025-12-07T14:46:56 | label=apple | conf=0.255 | found=True | aisle=1 | section=front-left
2025-12-07T15:04:52 | label=cereal | conf=0.255 | found=True | aisle=5 | section=middle-left
2025-12-07T15:04:58 | label=cereal | conf=0.255 | found=True | aisle=5 | section=middle-left
2025-12-07T15:05:03 | label=cereal | conf=0.255 | found=True | aisle=5 | section=middle-left
2025-12-07T15:34:25 | label=milk | conf=0.257 | found=True | aisle=3 | section=back-right
2025-12-07T16:52:18 | label=banana | conf=0.950 | found=True | aisle=1 | section=front-right
2025-12-07T17:05:12 | label=banana | conf=0.950 | found=True | aisle=1 | section=front-right
2025-12-07T18:06:45 | label=banana | conf=0.950 | found=True | aisle=1 | section=front-right
2025-12-07T18:22:03 | label=banana | conf=0.950 | found=True | aisle=1 | section=front-right
2025-12-07T18:22:22 | label=banana | conf=0.950 | found=True | aisle=1 | section=front-right
2025-12-07T18:58:52 | label=banana | conf=0.950 | found=True | aisle=1 | section=front-right
2025-12-07T18:59:03 | label=banana | conf=0.950 | found=True | aisle=1 | section=front-right
2025-12-07T18:59:49 | label=banana | conf=0.950 | found=True | aisle=1 | section=front-right
2025-12-07T18:59:57 | label=banana | conf=0.950 | found=True | aisle=1 | section=front-right
2025-12-07T19:00:01 | label=banana | conf=0.950 | found=True | aisle=1 | section=front-right
2025-12-07T22:36:40 | label=banana | conf=0.950 | found=True | aisle=1 | section=front-right
2025-12-07T22:36:51 | label=banana | conf=0.950 | found=True | aisle=1 | section=front-right
